start_station_id,neighborhood
13289,Pulaski Park
SL-009,Chicago Loop
514,Evanston
661,Evanston
13150,Near South Side
RP-007,Rogers Park
517,Evanston
RP-009,Rogers Park
E011,Evanston
TA1307000130,Little Italy
13028,Little Italy
E002,Evanston
KA1504000076,Hyde Park
KA1503000014,Hyde Park
TA1309000011,Hyde Park
523,Rogers Park
15571,Edgewater
TA1305000029,River North
TA1308000026,South Loop
E008,Evanston
15470,Washington Park
13345,Douglas
15530,Rush & Division
TA1306000002,Little Italy
13193,W Dickens Ave
TA1306000029,Streeterville
527,Evanston
TA1307000006,Lake View
13059,Lincoln Park
605,Evanston
E007,Evanston
TA1307000113,Lincoln Park
13326,Near West Side
TA1308000038,Bronzeville
598,Evanston
16994,Old Irving Park
WL-012,Cook County
KA1504000159,Rogers Park
LP-,W Dickens Ave
20228,South Deering
15644,Avondale
KA1503000041,Streeterville
15529,Streeterville
TA1308000035,Kenwood
KA1504000116,Cabrini-Green
KA1504000079,Cabrini-Green
549,Back of the Yards
13296,Lincoln Park
TA1309000027,Uptown
TA1306000009,Cabrini-Green
TA1306000025,Little Italy
583,Grand Crossing
13265,West Town
TA1308000002,Kenwood
TA1307000064,Lincoln Park
KA17018068,North Center
TA1309000067,Chicago
TA1307000136,Lake View East
TA1308000050,Near North Side
13331,Little Italy
13192,Lincoln Park
TA1309000041,Chicago
KA1503000059,Hyde Park
TA1307000126,Lake View East
620,Cabrini-Green
TA1308000029,Streeterville
KA1503000070,Hyde Park
13045,River North
15692,Marshall Square
TA1307000041,Lake View East
15667,Near West Side
13154,Goose Island
KA1503000075,S Martin Luther King Dr
13075,South Loop
TA1306000010,Chicago Loop
20237,Calumet Heights
TA1305000001,South Loop
TA1307000119,Chicago
13163,Little Italy
13029,Cook County
KA1503000005,Park Boulevard
SL-006,Near South Side
TA1309000039,W Deming Pl
13042,Streeterville
TA1309000006,W Dickens Ave
KA1503000043,West Town
13338,Streeterville
TA1308000049,Near North Side
13138,Cook County
15550,Near West Side
TA1307000163,Lincoln Park
20108,Beverly
TA1309000033,Lincoln Park
13277,Lake View East
15651,Logan Square
TA1309000023,Sheffield & DePaul
13257,W North Ave
TA1308000047,Uptown
13158,West Loop
13134,Near West Side
646,Legends South
13162,Lower West Side
TA1309000027,Uptown
15535,Cook County
13155,West Loop
TA1307000005,Near South Side
TA1307000149,Lake View
TA1306000008,Near North Side
KA1503000013,Englewood
TA1307000142,W Deming Pl
600,Evanston
13124,Chicago
KA1504000171,Chicago
13058,Goose Island
599,Evanston
596,Evanston
13290,Pulaski Park
TA1306000007,Near North Side
TA1307000127,Wrigleyville
20112,Roseland
TA1306000003,West Town
TA1307000070,West Town
20130,Roseland
15624,Old Irving Park
637,West Town
13196,West Town
13253,North Center
13242,Logan Square
RP-006,Rogers Park
658,West Town
KA1504000126,Albany Park
RP-002,West Ridge
13068,Logan Square
13248,West Town
20105,Washington Heights
TA1309000042,Lake View
13271,Lathrop Homes
20131,Pullman
TA1309000053,S Champlain Ave
TA1305000020,Goose Island
KA17018054,West Town
KA1504000167,North Park
15634,North Center
15648,Logan Square
13241,W Cortez St
TA1308000022,Lake View East
TA1308000005,West Town
TA1307000143,Near North Side
TA1306000006,Cabrini-Green
16918,Austin
15645,Logan Square
660,Rogers Park
TA1307000138,Lake View
15541,Chicago Loop
TA1305000002,Chicago Loop
TA1308000014,Armour Square
TA1305000006,Chicago Loop
KA1503000041,Streeterville
13017,Cabrini-Green
13217,Douglas
16916,Austin
16912,Austin
15585,Lincoln Square
662,Evanston
KA1504000090,Logan Square
16948,West Englewood
655,Lincoln Square
517,Rogers Park
TA1309000043,Wrigleyville
665,South Chicago
16943,West Englewood
13354,Near West Side
632,Lake View
TA1307000131,River North
15643,Logan Square
TA1309000029,Bucktown
TA1305000010,Chicago Loop
RP-001,West Ridge
13259,Logan Square
RP-004,West Ridge
20252.0,Lake View East
E014,Evanston
TA1309000014,Ravenswood
15668,Tri-Taylor
KA1504000139,Irving Park
15628,Irving Park
20104,Roseland
KA1504000129,Arcadia Terrace
20213,Hegewisch
16905,Austin
642,Austin
DIVVY 001,Humboldt Park
365.0,South Lawndale
20215,Chicago
16920,Austin
590,Old Irving Park
13143,North Center
13249,Lake View
530,Austin
16906,Austin
20225,South Deering
16903,Austin
540,Austin
20208,West Pullman
TA1307000139,South Commons
WL-011,Cook County
15541,Cook County
16932,Back of the Yards
13139,Little Italy
15686,South Lawndale
